% Model:              oval_geometry.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 3 2025, 17:38
% Dimension:          2
% Nodes:              373
% Expressions:        11
% Description:        Dependent variable u
% Length unit:        m
% X,Y,u (1) @ t=0,u (1) @ t=1,u (1) @ t=2,u (1) @ t=3,u (1) @ t=4,u (1) @ t=5,u (1) @ t=6,u (1) @ t=7,u (1) @ t=8,u (1) @ t=9,u (1) @ t=10
-2.056693366704093,4.085438136843109,0.046002067691724886,0.001735704108801839,8.8240034935122E-4,9.128889983651122E-4,0.0011470304904157137,0.0014200939162859248,0.0016407721112861985,0.0017733791944348047,0.0018264941288055829,0.001832674500905826,0.001816952056211008
0.08591033760795037,0.6892165097150854,0.04602363447733097,0.044035722153856115,0.0598134383979753,0.08322284935075337,0.10677219977169247,0.12411824147316892,0.1333547245786887,0.13627210348498675,0.1356097457544838,0.13362655381850208,0.1316241521521824
0.21870220026405268,0.5341385300998205,0.04601709877765578,0.02811726922830624,0.03687084760254875,0.05146971659202753,0.06679706909993761,0.07856399360830427,0.0851306559985631,0.08742924161740966,0.08720306808988543,0.08599138915307385,0.0846921150594981
-2.076326548611578,3.8388636058170666,0.046016788586053625,0.006105746109171206,0.0026306639871593374,0.0024788074000580518,0.0030362761919090174,0.0037645303177431494,0.004387461144311226,0.0047837387288013735,0.0049586757657718895,0.004994926741606753,0.004961202865137322
-1.7349134240919695,4.010060092918254,0.04600387471988669,7.062886089227767E-4,2.1142641230077882E-4,1.705240600073521E-4,2.008859387638099E-4,2.489012868281447E-4,2.9263573949670564E-4,3.2211756855745895E-4,3.3633421431541604E-4,3.403166198384894E-4,3.38731104323898E-4
0.2692615089966361,0.7845781349236364,0.046022383953077665,0.029864650536703553,0.034354096981109146,0.04618780221189619,0.05974906180942597,0.07087430957073972,0.0776107425455753,0.08038245677400911,0.08060644031936391,0.07972544143252679,0.07861610599775509
0.4836659277484184,0.6420191778283223,0.04601280627090388,0.012212898931283892,0.012882155137225017,0.017167371540459934,0.022450343995217763,0.02700781290540399,0.029908331121145607,0.031196340784852197,0.031394240166073284,0.031095007005350495,0.030666295253597962
-1.6485348497441865,3.7188104872024454,0.04601592803934388,0.0036449714969057924,7.775415940528898E-4,4.919868675921633E-4,5.390752049567E-4,6.676031830081781E-4,7.978251899113715E-4,8.932229360534759E-4,9.444850516173046E-4,9.629999588909934E-4,9.618806498356723E-4
-1.4046712329156748,4.010306634676997,0.04600764149884674,7.245195615759796E-4,2.102602575673878E-4,1.6478085641157992E-4,1.9246296253037703E-4,2.3850023237069094E-4,2.8100002743825794E-4,3.0998529179781945E-4,3.242077749396778E-4,3.283988735030928E-4,3.270495978092841E-4
0.5189817362693281,0.9573137320820959,0.04602162079113575,0.01971325234893394,0.016889813194641303,0.020733985292172404,0.02664880047729545,0.03226965246766111,0.036206291626872784,0.03821826171333318,0.03877930799495089,0.03860030772225539,0.03815514561641114
0.7774884304920177,0.7868099216141667,0.046010246307915365,0.00481999352826885,0.003670157602703681,0.004428872175507419,0.005740489903643386,0.007037238528496079,0.007973929347106974,0.008469405974323378,0.00862027997056144,0.00859071332264204,0.008492278441644527
-1.0829834444127073,4.086088045044428,0.046005807711908174,0.0017450956167952396,8.795142010697381E-4,9.07395204283555E-4,0.0011409368709614427,0.0014147188958292419,0.0016368158039538278,0.0017708626107945425,0.001825043218919959,0.001831884675113276,0.001816506677671927
-1.1377485745898563,3.7481513071831802,0.04601859243729849,0.006752079211965303,0.0024878150661878265,0.00215066097279059,0.002567759242647094,0.003180643710716484,0.0037295406320914646,0.0040943822185741914,0.004266899280905699,0.004312813537312985,0.004291105440274387
1.0829834444125717,0.9139119549555268,0.04600626467606304,0.0017443402333496524,8.805983499779402E-4,9.08087397440032E-4,0.0011411134284874274,0.0014144202985713133,0.001636195975152798,0.0017700929225991499,0.0018242457909199976,0.001831115481442577,0.0018157817983031326
0.8337003852630562,1.1704634440920465,0.04602085520404483,0.012760583888844284,0.007204931262986191,0.007461092273393185,0.009268704964097782,0.011385126022276345,0.013102905918761202,0.014143458774088503,0.014568907720556966,0.014627822069872957,0.014513100267558875
-0.8433365412288734,3.8431830025624416,0.04602090578400183,0.012022682860713342,0.0067768031810882794,0.00703899676780343,0.008761772572451363,0.010771825513130209,0.012400009606440625,0.01338397175143875,0.013784455332821773,0.013838146249976714,0.013728145400630469
-0.7774884304921482,4.2131900783857725,0.04600972938528858,0.0048216783841759465,0.003670440154394201,0.00442926208807107,0.005741460163497982,0.007039083690655142,0.007976668948478054,0.008472821955933922,0.008624082073536292,0.008594683955494701,0.008496280342092242
1.4046712329155322,0.9896933653229848,0.04600711994021657,7.214413752043816E-4,2.1117693499573623E-4,1.6671811270146705E-4,1.951457091501414E-4,2.4183842957158804E-4,2.8482748696301974E-4,3.140826482101416E-4,3.2839152640291115E-4,3.325708847063935E-4,3.311727372289743E-4
1.1272979905274618,1.2539566653719223,0.046018482950991764,0.007003431693169791,0.002615724918081968,0.002273574096884949,0.002717670588176157,0.0033656741473957435,0.0039446276393552285,0.004328609593240274,0.004509598259252476,0.004557296551408179,0.00453399445739272
-0.52793820127938,4.041314105648367,0.04602157580278021,0.01930677648927748,0.01640669097101467,0.020094317389520902,0.02582620381053438,0.031293685766605635,0.03513536514101528,0.037106953183100116,0.03766342042208342,0.03749564889684031,0.037065341534131796
-0.4836659277485209,4.357980822171628,0.04601262701335617,0.012214355224881436,0.01288307399865968,0.01716828514358769,0.02245220749965904,0.02701137694429452,0.02991372051013384,0.03120318027736464,0.031401980369626575,0.031103199753423908,0.030674628692731923
